01.01.2009;7,8
01.02.2009;8,3
01.03.2009;8,7
01.04.2009;9
01.05.2009;9,4
01.06.2009;9,5
01.07.2009;9,5
01.08.2009;9,6
01.09.2009;9,8
01.10.2009;10
01.11.2009;9,9
01.12.2009;9,9
01.01.2010;9,8
01.02.2010;9,8
01.03.2010;9,9
01.04.2010;9,9
01.05.2010;9,6
01.06.2010;9,4
01.07.2010;9,5
01.08.2010;9,5
01.09.2010;9,5
01.10.2010;9,5
01.11.2010;9,8
01.12.2010;9,3
01.01.2011;9,1
01.02.2011;9
01.03.2011;8,9
01.04.2011;9
01.05.2011;9
01.06.2011;9,1
01.07.2011;9
01.08.2011;9
01.09.2011;9
01.10.2011;8,9
01.11.2011;8,6
01.12.2011;8,5
01.01.2012;8,3
01.02.2012;8,3
01.03.2012;8,2
01.04.2012;8,1
01.05.2012;8,2
01.06.2012;8,2
01.07.2012;8,2
01.08.2012;8,1
01.09.2012;7,8
01.10.2012;7,9
01.11.2012;7,8
01.12.2012;7,8
01.01.2013;7,9
01.02.2013;7,7
01.03.2013;7,6
01.04.2013;7,5
01.05.2013;7,6
01.06.2013;7,6
01.07.2013;7,4
01.08.2013;7,3
01.09.2013;7,2
01.10.2013;7,3
